Crop,Month,Year,Rainfall,WPI
Groundnut,12,2015,15,126
Groundnut,1,2016,19.3,123.3
Groundnut,2,2016,22.8,124.6
Groundnut,3,2016,27.6,128.9
Groundnut,4,2016,37.4,139.1
Groundnut,5,2016,62.6,143.4
Groundnut,6,2016,168.3,146.1
Groundnut,7,2016,289.1,150
Groundnut,8,2016,256.3,145.5
Groundnut,9,2016,171.9,140.3
Groundnut,10,2016,76.1,132.3
Groundnut,11,2016,29.7,126.4
Groundnut,12,2016,14.9,131.5
Groundnut,1,2017,19,134.1
Groundnut,2,2017,22.6,132.4
Groundnut,3,2017,27.8,137.7
Groundnut,4,2017,37.9,139.8
Groundnut,5,2017,62.4,136.2
Groundnut,6,2017,168.1,133.2
Groundnut,7,2017,289.3,127.6
Groundnut,8,2017,256.2,124.3
Groundnut,9,2017,171.5,118
Groundnut,10,2017,76.3,116.9
Groundnut,11,2017,29.9,117
Groundnut,12,2017,15,113.9
Groundnut,1,2018,19.2,113.4
Groundnut,2,2018,20.1,114.9
Groundnut,3,2018,27.1,114.3
Groundnut,4,2018,40.2,109.6
Groundnut,5,2018,62.7,107.5
Groundnut,6,2018,165,109.7
Groundnut,7,2018,286.3,112.4
Groundnut,8,2018,254.3,119.9
Groundnut,9,2018,171.9,118.2
Groundnut,10,2018,77.2,118.8
Groundnut,11,2018,28.1,125.3
Groundnut,12,2018,14.1,122.6
Jowar,4,2012,47.5,98.3
Jowar,5,2012,31.7,98.2
Jowar,6,2012,117.8,97
Jowar,7,2012,250.2,93.7
Jowar,8,2012,262.4,96.2
Jowar,9,2012,193.5,97.2
Jowar,10,2012,58.7,95.5
Jowar,11,2012,30.7,95.6
Jowar,12,2012,11.7,95
Jowar,1,2013,11.3,95.2
Jowar,2,2013,40.1,97.9
Jowar,3,2013,15.7,101.9
Jowar,4,2013,30.4,101.7
Jowar,5,2013,57.8,99.5
Jowar,6,2013,219.8,97.7
Jowar,7,2013,310,99.5
Jowar,8,2013,254.7,94.5
Jowar,9,2013,152.7,98
Jowar,10,2013,129.4,98.4
Jowar,11,2013,14,99.5
Jowar,12,2013,6.7,100.8
Jowar,1,2014,19.2,100.8
Jowar,2,2014,27.4,103
Jowar,3,2014,36.1,111.3
Jowar,4,2014,22.2,115.7
Jowar,5,2014,72.9,112.8
Jowar,6,2014,95.4,113.9
Jowar,7,2014,261.2,120.7
Jowar,8,2014,237.5,116.1
Jowar,9,2014,188,115
Jowar,10,2014,60.2,117
Jowar,11,2014,14.4,115.3
Jowar,12,2014,10.7,110.3
Jowar,1,2015,17.4,119.2
Jowar,2,2015,21,119.6
Jowar,3,2015,62,114.4
Jowar,4,2015,69.4,111.3
Jowar,5,2015,53.8,117.4
Jowar,6,2015,192.8,115.7
Jowar,7,2015,242.4,110.7
Jowar,8,2015,205.2,108.4
